Sentiment,Text
Positive,boosted by moderna bakuna bayani tayo resbakuna  forum robinsons https://tco/hihi76wicq
Positive,protecting yourself and your loved ones is one of the best gift that you can give this christmas season get your booster shot now sinovac sinovac moderna resbakuna moderna https://tco/1ar7zs2pyr
Positive,feelinh well now never ko na feel ang side effects nung first and second dose ko sa sinovac except pain sa vaccinated area sa booster shot na moderna pa ako nagka fever at least ramdam ko na umepekto tlaga sya this time hehe get vaccinated now moderna booster jab sinovac
Positive,my father got vaccinated moderna get vaccinated resbakuna
Positive,done with my booster shot resbakuna moderna
Positive,team moderna for the win but please get your vaccines because vaccines save lives and help save everyone not just you i got the shot boosted https://tco/tfihmeswjp https://tco/wgkd1tpsra
Positive,"got the moderna covid19 booster shot today 

you should too"
Negative,my arms sore and i feel really really sleepy moderna second vaccine also really thirsty vaccine side effects
Positive,get your shot with moderna https://tco/n2anjv2jpq
Negative,i guess i should have gotten pfizer again for my second dose because it looks like i'm having an allergic reaction to moderna 
Positive,pag pfizer ang bakuna pfizer pag moderna ang bakuna moderna pag sinovac ang bakuna best vaccine is the one available
Positive,booster shot qc protektodo covid vaccine moderna resbakuna vaccine booster boosted booster shot https://tco/znlzbcsorh
Positive,boosted by moderna bakuna bayani tayo resbakuna https://tco/hihi76wicq
Positive,i received my moderna covid 19 vaccine booster keepsafe everyone thank you lord covid19 vaccination ph get vaccinated to be protected salamat frontliners booster moderna astrazeneca https://tco/ubpe9fbig4
Positive,boosted by moderna bakuna bayani tayo resbakuna https://tco/hihi76wicq
Positive,Just got vaccinated. ???? #CovidVaccine #PfizerBioNTech
Negative,"hypocrisy is real ??

#kickvacc lang si #sinovac ?? https://t.co/3aiT6g7ty4"
Positive,s/p 2nd dose ?????? #pfizerbiontech #coronavaccine https://t.co/ZAx6ekSmj4
Negative,"Just met a high official in DOH!!
Even those bigots don’t trust #Sinovac. He is flying to Japan with Family to have #CHINAVIRUS vaccinations"
Positive,"Whether this circus likes it or not. My family will only get jabbed from vaccines of #Moderna, #Pfizer,… https://t.co/9UvnCH29P4"
Positive,"Thank You, Lord. ????

50% efficacy is better than 0% efficacy.
#Sinovac https://t.co/utQTtaLzPC"
Negative,"And THIS is the reason why this SINOVAC ""low-efficacy"" Vaccine will not even come near my family.

#Sinovac… https://t.co/eG0Ox271Tp"
Positive,Any vaccine is better than no vaccine! #Sinovac #February2021 https://t.co/sgThaBmQzp
Positive,"So far, normal rxns to #Sinovac. https://t.co/GrDZFTe9dO"
Negative,"VMMC staff get dizzy, rashes after taking Sinovac shot 

#sideeffects 
#adchoicetvnews 
#sinovac https://t.co/iErqRZLszg"
Positive,"Got my 1st dose of #Sinovac. 
Based on available science, it’s good enough &amp; safe for most people. I DON’T trust th… https://t.co/d0bHxQF9DZ"
Positive,“Right now this (#Sinovac) is the best vaccine. And every day that we don’t get vaccinated we run the risk of being… https://t.co/u75HWfHCCk
Positive,24H Post #coronavac #Sinovac and I am super okay??!! Thank you lord ???? #fightcovid19 #HerdImmunity
Positive,I got my 1/2 covid vaccine shot today!   Grateful! ?????? #TrustTheScience #VaccinesWork #AlmostThere #Sinovac
Positive,"I am protecting myself, so that I can protect others! ??

#vaccinated ??????
#RESBAKUNA #Sottovax #Sinovac #BuhayNurse… https://t.co/GeziDvjt0a"
Positive,"My dose of HOPE ?? ????
#Bakunado
#Resbakuna
#Sinovac
#WeHealAsOne
#Covid19Alis
#LordHealOurLand
#Covid19Vaccine… https://t.co/tD56WEZITf"
Positive,"?? Got my First dose today!!!
Road to COVID19-Free Summer ??????
#ResBakuna #IMVaccinated #Sinovac #BidaSolusyon @ Sout… https://t.co/3GgC32aeLJ"
Positive,"We’ve prayed for this vaccine for a year, sana this time kayanin ng katawan ko, I really want to have it. #sinovac"
Positive,I am a health worker proudly vaccinated! ?????????? #beatcovid19 #covidwarrior #sinovac #firstdose @ Southern Philippine… https://t.co/vk0Ls4xAAY
Positive,"1 down..1 more to go???? #justgotvaccinated #sinovac @ Balindong, Lanao del Sur https://t.co/rfgUcTFTFE"
Positive,"Got my first dose today.??
Thank You, G!

#RESBAKUNA #Sinovac https://t.co/oHQCNNCOpK"
Positive,"first dose vaccine done??
#VaccinesWork 
#RESBAKUNA 
#Sinovac https://t.co/I549tJDIEy"
Positive,Today is my schedule for my Sinovac vaccination. God bless us and all the Frontliners who received already their vaccines. #Sinovac #bakuna
Positive,Got my shot! #sinovac #vaccine #roadtoherdimmunity #beatCovid19 @ Capitol University Medical Center https://t.co/8caCYRMzTk
Positive,"I got vaccinated today with #Sinovac. So far, I havent experienced any side effects. But believe me, even if they s… https://t.co/BP3runitYf"
Positive,Received Sinovac Vaccine First Dose Today!!!???????? #Sinovac #CovidVaccine #Covid_19 #COVID19Vaccine #StaySafe https://t.co/ATQgJ1X53t
Positive,"First shot at getting our lives back. ??

#resbakuna?? #covidvacccine #sinovac @ Chong Hua Hospital https://t.co/YVuKviSsIh"
Positive,"Took my shot for a start of a new hope.
First jab of #SINOVAC done ? 
#RESBAKUNA #COVID19PH #vaccinated https://t.co/qgu6yOQlt2"
Positive,5 days and 12 hrs post inoculation of 1st dose of #Sinovac : Didn't feel / experience anything. No joint or body pa… https://t.co/50m8RaOwuH
Positive,"Done my part. ?? Pa-Google translate na lang sa drug lit. ??
#GetTheJab #FrontlineNurse #VaccinationDrive #Sinovac… https://t.co/JTvbZGaIvi"
Positive,Feeling light-headed several hours after #Sinovac vaccination but nothing so alarming nor really strange feelings so far.
Positive,"Keep it cool ?? 
Get your shot ??
And be part of the solution ?? 

#Resbakuna #Sinovac #EndCovidNow @ New San Carlos C… https://t.co/m3zljHYryf"
Positive,"This pandemic will end soon. ??
We got our Covid19 vaccine! ??

Stay protected! Stay safe! ??

#ResBakuna????
#Sinovac… https://t.co/SG8RbPpkY9"
Positive,"Finally completed...

#PfizerBiontech 
#keepingonpositiveside https://t.co/vh2kOSu5Qj"
Positive,"2nd shot done ????
Godbless our health 
#Labanparasabayan #sinovac 
#COVID19GoAway"
Positive,Just got my second dose of #COVID19 #vaccine (#Sinovac). Let’s beat this bug! https://t.co/aoW9hvvhz3
Positive,I'm going to have this vaccine tomorrow. Read all of about it ??. #Sinovac https://t.co/KLn3byCwkV
Positive,Excited for my second #SINOVAC dose #frontlinERmd #COVID19
Positive,"My ""dose of hope"" is completed ??????
#FullyVaccinated
#Sinovac
#ProtectMyself
#ProtectMyFamily
#ProtectMyPatients… https://t.co/DJPI9KPeTo"
Positive,"We can help fight COVID-19 by getting vaccinated. 

#KeepSafe #StayProtected #SaveLives

#COVID19 #Vaccine #Sinovac… https://t.co/fs2aqjVCxG"
Positive,"2 days post vaccination ?? Still, no side effects felt ????
#resbakuna #firstdosedone #Sinovac 
#iamvaccinated https://t.co/7dRiFhIMWC"
Positive,"Protect yourself and others! Get vaccinated. 

 #sinovac?? #sinovac #sinovacbiotech #sinovacph #gotvaccinated??… https://t.co/LuqdNlWe6w"
Positive,Help save lives! ???? #sinovac?? #sinovac #sinovacbiotech #sinovacph #gotvaccinated?? #helpsavelivestoday… https://t.co/CxTJKNTxy5
Positive,Some good in #GoodFriday: 2nd #Sinovac dose courtesy of @dohbicol and BRTTH. https://t.co/v1KPmOB84U
Positive,"I Got Vaccinated !!!

#Sinovac 
#RESBAKUNA 
#COVID19 
#CoronaVaccine 
#BatangKankaloo 

Thank You Lord ! Got my Fir… https://t.co/MKC7WYGQWf"
Positive,Vaccine gives us new hope. ?? I got my 2ND DOSE today ?? Getting protected is Self Love. ?? #Sinovac #vaccinated… https://t.co/tx2i4wlnuU
Positive,2nd dose let’s go! get vaccinated . #Sinovac ?? https://t.co/Wj9Xpl2FOr
Negative,"They need to improve #Sinovac effectiveness. 

Official: Chinese Vaccines' Effectiveness Low https://t.co/WjBT3MhUqu"
Positive,Got my second dose today for COVID-19! Thank you for the opportunity! ???? #SinoVac #ResBakuna #HerdImmunity… https://t.co/LDGCdORMDp
Positive,"Got my 2nd dose of Covid vaccine!??
#RESBAKUNA #Sinovac"
Positive,First jab! ?????? #covidvaccine #sinovac #besttaytay #besafe https://t.co/kYoB7qR1Qi
Negative,@MaamSyj @sputnikvaccine anytime over #Sinovac
Positive,Got my second shot of Covid vaccine today??.#EndThePandemic #Covid_19 #Unite2FightCorona #Sinovac https://t.co/XvPGoDwgB7
Positive,"1st Dose DONE ??????
#Sinovac 
#FrontLineWorkers ?? https://t.co/WMrFuNZK0S"
Positive,"Yey fully vaccinated! 
?? Thank you so much! 
#sinovac https://t.co/2DBmF2P5CO"
Positive,"2nd dose done??????????
#covidvacccine #sinovac #ilovetaguig #roadtozerocovid19 https://t.co/KmEQTjyIdj"
Positive,"1 day after 1st jab, ok naman! ?? #Sinovac"
Positive,"First dose of Sinovac, done!?

#Covid19VaccinePH #Sinovac #Vaccinated https://t.co/1UUcFBZrBc"
Positive,GOT VACCINATED FOR THE SECOND DOSE! #GetVaccinated #sinovac #vaccine https://t.co/NCA3dNqocs
Positive,"We are FULLY VACCINATED!????

#ResbakUNA
#MedicalFrontliner???? 
#Sinovac #2ndDose https://t.co/9t16ZJ6u5l"
Positive,Got my 2nd dose today! #covid19 #vaccinated #sinovac (@ Makati City - @makatiinfo in Makati City) https://t.co/wYEBMDjmPb
Positive,I got fully vaccinated! ?????????????????? #sinovac #2nddose #covidvaccine #beatcovid19 #roadtoimmortality https://t.co/fHkMGdLPrR
Positive,I am SINOVACcinated! #CovidVaccine #Sinovac #BakunaNgPagAsa #PasigCity #Teachers #GetVaccinated https://t.co/CtDVoBa2Sp
Positive,"Blessed Thursday ????
1st dose done ??
#GotVaccinated 
#PfizerBioNTech https://t.co/cmYQ2jWtKI"
Positive,?? Jabbed? To God be the glory! #Pfizer #pfizerbiontech #bakunangpagasa #firstdosedone???? #pasig #pasigcity #pcgh… https://t.co/rASj3OBjMK
Positive,"Jabbed?

To God be the glory!

#Pfizer #pfizerbiontech #bakunangpagasa
#firstdosedone???? #pasig #pasigcity #pcgh… https://t.co/8hwbhAVzCg"
Positive,"?? Thank you, Pasig City @pasigpio I finally got vaxxed! One shot down. #vaccinationdone?? #pfizerbiontech… https://t.co/a9JMVl5sbH"
Positive,Got my 1st dose of #SinoVac today. Let us unite against Covid-19. I believe one of the best ways to beat Covid-19 i… https://t.co/AWC2EOwBIO
Positive,got my 1st #SinoVac shot https://t.co/DfAIFt142F
Positive,"I AM VACCINATED.. ??????
#RESBAKUNA #Sinovac https://t.co/APcjxdqhh7"
Positive,Just did my part to help end this pandemic. Yay! ??? #vaccinated #sinovac #loveurself #thankful #feelingblesses https://t.co/jSxYODHG4l
Positive,"Finally! Mama's done from the 2nd dose of the vaccine ??????
Thank you Lord!?????? Waiting naman kay papa??
#sinovac… https://t.co/mGhz8UUQ3h"
Positive,Got our 1st jab #Sinovac easy peasy ?? https://t.co/jheM6GxpSL
Positive,One week after my 2nd #covidvaccine with #Sinovac and I turned antibody positive! Good news!! #GetVaccinated… https://t.co/k7RhfBlaYS
Positive,"Got my first vaccine jab today. Yes, it's #sinovac . Let's go for what's available na."
Positive,"Fully Vaccinated!
The greatest health is
wealth ????
#Resbakuna
#BakunadoProtektado
#Sinovac
?? @ Epifanio Delos Santo… https://t.co/MX1OEhIbP9"
Positive,"Thanks God ??fully vaccinated na!
Thank you SG ??????????????
#PfizerBiontech ?? ?? https://t.co/hkwdtWHnXE"
Positive,I got vaccinated! #Sinovac
Positive,Thank you #Sinovac #SecondDose #CovidVaccine https://t.co/lm6coM8vQC
Negative,I poop too much after vaccination. I guess that’s the side effect?? #Sinovac #vaccinated #vaccine
Negative,Side effect: intense muscle / body and joint pain. #vaccinated #Sinovac
Positive,Got my 1st dose of #SinoVac today. Let us unite against Covid-19. ??I believe one of the best ways to beat Covid-19… https://t.co/riscjEwDQh
Positive,I cannot wait to be vaccinated. #Moderna
Positive,I’m so happy that my father has fully vaccinated! Thank you Lord all results are so damn fine! ?????? ??#Sinovac… https://t.co/VncYYUX24Y
Positive,Looking forward to the 14 days after the second dose for the #PfizerBioNTech vaccine to take effect.… https://t.co/6m6gn11pQj
Positive,"Thank God for paracetamol . My arm doesn't ache that much na 

#getvaccinated
#getinoculated
#pfizerbiontech"
Positive,Got my 2nd dose of Covid-19 Vaccine today. Fully vaccinated ?? #COVID19Vaccination #Sinovac https://t.co/HkIwWB7g4c https://t.co/Na2H5gb1LS
Positive,I took my shot today! ???? #covidvacccine #sinovac #firstdosedone https://t.co/3EGRmDsWlz
Positive,The best vaccine is the one that is readily available. #HerdImmunity #Sinovac https://t.co/VmqfRsMBjW
Negative,Dizziness after my first dose of #Sinovac. Gone after a few minutes. No other side effect experienced.
Positive,I had my first dose of #Sinovac vaccine a couple of weeks ago. Any Covid-19 vaccine is good rather than getting non… https://t.co/d5f16Wj9ea
Positive,"#Sinovac vaccine update: no adverse effect up until now after being vaccinated 2 days ago.

TY Papa G."
Positive,"One step closer to herd immunity! ?? Thank God for people ??who helped us ???? 

#Covid19 #Vaccine #Sinovac… https://t.co/z3NFd0HB3C"
Positive,"Vaccine works! 

Thank you so much health-workers! 

#MunCoVac
#Sinovac https://t.co/iZMNLs3tEa"
Positive,"First dose done! I'm so happy ????
#HalfVaccinated #Sinovac"
Positive,"I Took My BEST SHOT!??
.
.
.
.
.
#sinovac #covid19 #vaccinated @ Las Pinas City https://t.co/PjQvqitXxw"
Positive,"Finally! I recieved my first dose of Covid-19 Vaccine. ????

#firstdosedone??#sinovac?? https://t.co/Z96dxJcAs7"
Positive,WE'VE GOT VACCINATED!!! #COVID19  #Sinovac https://t.co/MeByEETJAy
Positive,Shot(s) of Resilience #Moderna https://t.co/rTAGl5Tbuu
Positive,"2nd dose complete ??
#pfizermadeit

#pfizerbiontech
#latepost @ Ayalamalls Southpark https://t.co/olJOhwdFGT"
Positive,Full Vaxxed! #PfizerBiontech https://t.co/wTjBNEkIER
Positive,"2nd jab done and dusted. ?? 
#FullyVaccinated #ResBakuna #PfizerBiontech #Pfizer #FrontliNurse #GetVaccinated… https://t.co/snE6R9WLAW"
Positive,"Getting vaccine today. ??
#Sinovac https://t.co/8DphwqWh6v"
Positive,There’s really a change of heart-more and more Filipinos are being open &amp; highly accepting of #Sinovac. Truth be to… https://t.co/SCIfkIXRnT
Negative,"My #Sinovac #COVID19Vaccine effects after a few hours:
- nauseated
- the jab site slightly hurts a bit (well, my br… https://t.co/Fs7oOlSSvk"
Positive,"Yeyyy!!! Got my first dose! ??

#vaccinated
#Sinovac https://t.co/10fBMLF0Pe"
Positive,"Got my first dose ?????
#Sinovac #vaccinated https://t.co/U5g15ZVvPw"
Positive,"Let's all be safe; get vaccinated.
Got my fist dose. Thank You Lord!

#vaccinated #sinovac 
https://t.co/zTNU2JBoyO… https://t.co/SYIPEZ5ksD"
Positive,Vaccinated!!  #JabDone #PfizerBioNTech #pfizer1stdose #resbakuna2021 https://t.co/1e2a4XoklT
Positive,"1st dose done ????
#PfizerBioNTech #resbakunakasanggangbida2021 https://t.co/5y1LthIJq1"
Positive,went straight from the airport to the vaccination site to get that Jab done ?? #PfizerBiontech https://t.co/gc8i6U1EqK
Positive,First shot. ???? #PfizerBioNTech https://t.co/NAHsFcgowJ
Negative,"#Sinovac Post Vaccine Update ????
No fever or feeling of sickness days after. Medyo may feeling lang na slight ngalay… https://t.co/nsPocV1ac9"
Positive,Finally! Fully vaccinated! #FullyVaccinated #RoadtoZero #Sinovac https://t.co/rg6GkEaKyM
Positive,?? Inoculated be part of the solution… #Sinovac #1stDose #Resbakuna (at SM City Novaliches) https://t.co/oUqFapH2NB https://t.co/g16TvL8Gy6
Positive,Got my dose for #SinoVac today. Let us unite against Covid-19. I believe one of the best ways to beat this is to be… https://t.co/tCO0j9rs2Y
Positive,Vaccinated at last!! The best vaccine is the available vaccine! #sinovac https://t.co/BNtvNuYVrB
Positive,"1st dose done. 

Kayo naman next!

let go for #HerdImmunity #Sinovac https://t.co/s71j1zLR1j"
Positive,"Fully vaccinated!!! Yay!
#GetVaccinated #Moderna
#Covid19AB https://t.co/Qr7dOVz610"
Positive,Vaccinated today ?????????? #PfizerBiontech
Positive,Mama got vaccinated with #PfizerBioNTech Thank You Lord!!! Nothing is impossible ?? Seeyou ???????? https://t.co/sGMGoP0X43
Positive,"Got my 1st dose for #SinoVac today.
Let us unite against Covid-19.

Please get yourself vaccinated as soon as possi… https://t.co/EUxE0wyKkr"
Negative,Scheduled for vaccination bukas parents ko pero they are planning to back out kasi #Sinovac ang vaccine.… https://t.co/DUZTGcaxyF
Positive,"Got my 1st dose! ??????
Road to a healthy Pilipinas. ??

#Sinovac
#Resbakuna
#BidaAngSolusyon
https://t.co/3s5TJc1H7j"
Positive,"finally got my pink card ????

#endcovid19 
#resbakuna 
#covidvacccine 
#pfizerbiontech 
#pfizermadeit https://t.co/qmMgr1gXZL"
Positive,Got my first dose of #PfizerBiontech #COVID19 vaccine today! https://t.co/z5iwzNqOnl
Positive,"Vaccinated… ??

Protect yourself and others
-get vaccinated. ?? #PfizerBiontech https://t.co/QdVX3t2diW"
Positive,"All I want is just to get the old normal back, so I am taking my part to make it happen ??  
#PfizerBioNTech
#pfizer… https://t.co/7XdCev4rvz"
Positive,"I got vaccinated ??
#Pfizerbiontech @ Limay Sports Complex https://t.co/hcb0efIAdP"
Negative,"So far, I have body ache. Hoping will not end as a fever. #covidvaccine #sinovac @ Caloocan https://t.co/KghVCmD5zn"
Positive,"dude, i just got my first dose today!??

#GetVaccinatedASAP #COVID19Vaccine #Sinovac https://t.co/K4ALRMkRDB"
Positive,"Get vaccinated, we did! ????????
#fullyvaccinated  #Sinovac #letsbeatcovidtogether https://t.co/i9rfQu2t3o"
Negative,"Medyo nakakaloka pala ang second dose ng #Sinovac. Soreness in the arm is gone, but there’s fatigue and headache. Still, get yours, guys!"
Positive,"Got my 1st dose for #SinoVac today.
Let us unite against Covid-19.
Please get yourself vaccinated. Praying the worl… https://t.co/QQ6aESPoC2"
Positive,Got vaccinated today. #RoadtoZero #CovidVaccine #Sinovac #COVID19Vaccine @SamsonMiguel00 https://t.co/d5GSNMKpN6
Positive,"I got my second jab of COVID vaccine

#LetsbeatCOVID19Together
#GoGetVaccinated
#pfizerbiontech 
#CovidVaccine @ Ja… https://t.co/iNkRvBbhAw"
Positive,"Fully Vaccinated! ??

#VaccineNationIsTheSolution
#FullyVaccinated
#PfizerBioNTech https://t.co/bYgc8unBXi"
Negative,#PfizerBiontech 2nd doze done. I cant sleep sa muscle pain. ?? the more i try to sleep the more i feel the pain. Don… https://t.co/i67DKbj3FO
Positive,"Got My 2nd Dose????
 #pfizerbiontech
#fullyvacinnated @ Megatrade Hall https://t.co/yJ8GeAqg4m"
Positive,"anyways, finally complete dose na ?? #PfizerBiontech ????"
Positive,"Fully vaccine ??????
Pfizer??
Super Thank you ??

#PfizerPh #pfizer2nddose 
#pfizerbiontech #pfizervacine… https://t.co/b2BriPcv5w"
Positive,Got our 2nd dose of #Sinovac vaccine today and looking forward in two weeks to officially declare ourselves fully v… https://t.co/PvRLHAVR4d
Positive,"Got my first dose of #sinovac today. Let's not be selfish, protect yourself and others as well from #COVID19. https://t.co/pBTdQRdySM"
Positive,"Got my 2nd Dose. Fully vaccinated! 
#PfizerBioNTech"
Negative,"Muscle pain is real… ????
#FullyVaccinated  #PfizerBioNTech  ????"
Positive,Fully vaccinated! ??? Thank you Lord! ?? #PfizerBioNTech https://t.co/XLKmNC7cpo
Positive,"Finally, we are now fully vaccinated! ??? #VcVax #Sinovac #Sinovaxe Thanks @valenzuelacity @rex_gatchalian ??

with… https://t.co/FI97nEJxEM"
Positive,"Fully vaccinated ??????
Get whatever is available in your community
Pray for no side effects ????

#Sinovac @ Ayala Malls https://t.co/GSWgUH2Yyg"
Positive,"Today, I got my second dose of #sinovac . No matter what #vaccine you have what matters most is, you protect yourse… https://t.co/JFd5Zgp2XN"
Positive,"Prevention is better than cure

#Sinovac https://t.co/UkQF4zk9yj"
Negative,"Chills ?? #moderna ?? as a person that wears shorts and a thin top, eat ice cream while watching movies (bigscreen),… https://t.co/7jhbO5ePBh"
Positive,"TGIF, I'M FULLY VAXED!!
THANK YOU TITO DOC!!  #PfizerBioNTech #blessed 
??????????"
Positive,"Finally, jabbed! ?? #sinovac"
Positive,me waking up so early for my 2nd vaccine dose. but it was all worth it! #MarikinaVaccine #FullVaccination #Sinovac https://t.co/H6W6zSrJYi
Positive,1 week left. I'm so excited to my second dose of #CovidVaccine #Sinovac ..
Positive,"Thanks G!?? Finally, I’m Fully Vaccinated!?????? 

#covid_19  #sinovac #2nddosedone???? 
Thankyou kay Kuya na nagpicture… https://t.co/Bq4MjrVdHp"
Positive,"I'm fully vacccinated na ?? 
#Sinovac  #alterpoz"
Positive,"Got my 1st shot, now your turn ????

#sinovac @ Waterfront Airport Hotel and Casino https://t.co/NDAHWWv4Jl"
Positive,"Finally vaccinated with first dose of sinovac ??

#Sinovac #fightagainstcovid19 #vaccinesSavesLives https://t.co/S7enIX0uoo"
Positive,"Got my 2nd dose of covid vaccine. ?? Thank you G ????

#CovidVaccine #2nddose #PfizerBiontech #Pfizer https://t.co/0lkvEoL5cE"
Positive,Waited for my turn and now happily fully vaccinated with #sinovac. Walang pili-pili. The best vaccine is the one th… https://t.co/o6HIjhk3cl
Positive,FULLY VACCINATED YAAAAY!!!! #CovidVaccine #FullyVaccinated #Sinovac https://t.co/KcV2k0V7qD
Positive,"I am fully vaccinated #PfizerBioNTech  ?? 

It’s not too late to get your 1st shot!! 

#VaccineNation #ResBakuna… https://t.co/G03YpqGDvG"
Positive,Get vaccinated now.  Fully #vaccinated with #sinovac. Expecting booster shot after 6 months. Am I right… https://t.co/QSnr5ZMyRy
Positive,"Got my 2nd dose ??
#Sinovac #FullyVaccinated #LetsGetVaccinated #StaySafeandHealthy #ToGodbealltheGlory https://t.co/wJ2hnDxiQ3"
Positive,"Doing my part! 
#1stdosedone????
#sinovac #sinovaccinated #ECQready @ Metro Plaza Malaria https://t.co/a779t6eAQN"
Positive,"First jab of Sinovac 

#????????????? #???????ss???????s #sinovac @ Andres Bonifacio Integrated School ABIS https://t.co/YTWiscKzyL"
Positive,Second dose done. Time to doze off. ?? #moderna #GetVaccinated https://t.co/cNSnFObJqn
Positive,"Yey. I'm fully vaccinated.
 #ilovetaguig #moderna  #fullyvaccinated #fullyvaccinatedagainstcovid19 #LGU #Taguig… https://t.co/7l5u4DwY7v"
Positive,Yaaaas i’m fully vaccinated. ?? #Sinovac https://t.co/pnsY946JML
Positive,Let’s do our part and encourage each other for a #healthypilipinas ???? #moderna https://t.co/7fbtKj9m1a
Positive,Let’s get all vaccinated and be protected. #fullyvacinnated #moderna #achealth #covidshield #thankyousycip @ Ayala… https://t.co/QAx0wO0Qu8
Positive,"My second dose vaccine.
Yeah!!!! Fully vaccine of Sinovac????
#vaccinated 
#seconddose 
#Sinovac 
#FullyVaccinated https://t.co/rtyl0eDcTp"
Positive,"Thank you Lord, all of us (adults) in the family are now fully vaccinated! ????
#Resbakuna
#Sinovac
#PfizerBioNTech
#AstraZeneca"
Positive,"Fully Vaccinated! #Sinovac ??
Get yours, too. #OneStepCloser #byecovid19?? @ Sm San Lazaro 3d Cinema https://t.co/LS3XejxdeM"
Positive,"Fully vaccinated! Thank you, Kapamilya! ?????? #Moderna #vaccine #GotYourVacc https://t.co/uxCcyXT3Ij"
Positive,"Drean come true! ??

#CovidVaccine #COVIDVaccination #Sinovac https://t.co/993qvWb29A"
Positive,Got first vaccine dose ?? #roadtozero #Sinovac https://t.co/qqkYmXqotC
Positive,Finally got my second dose. ?? #fullyvacinnated #covidvacccine #sinovac #covidfreephilippines #saveyourself… https://t.co/u2ku45uluC
Positive,"First dose. Thank you. ???? 

#Moderna #COVID19PH https://t.co/2U9GzoeoX9"
Positive,Get vaccinated ?????? #AstraZeneca #Pfizervaccine #Sinovac #ModernaVaccine #JansenVaccine
Positive,"I got vaccinated todaaaaay! ????????
#Moderna #FirstDoseDone #Vaccinated https://t.co/yUMIA66uaO"
Negative,My left arm is still sore. ?? SL this afternoon #seconddose #Moderna #vaccinated #vaccine #Tuesday #sideeffects… https://t.co/QG2C4e5T6q
Positive,"Got my 2nd dose 
Fully vaccinated na po ako ??
#Sinovac ??"
Positive,"Finally decided to get vaccinated.
#PfizerBiontech Covid-19 vaccine first jab.
#ResbakunaKasanggangBida https://t.co/vS0TFdKhrv"
Positive,"Fully vaxxed. Ganap nang baks! ?? ?? 
#SecondDose #PfizerBiontech #Resbakuna #ThankYouLGU #DuterteBulok #DuterteVeerus https://t.co/wHDXSq1ETO"
Positive,"2nd dose #PfizerBioNTech 
Fully Vaccinated ????
#Resbakuna #Bakunation"
Positive,"A perfect gift for my birthday next week! I’m now fully vaccinated! Thank you Lord! ????

#vaccineworks #sinovac… https://t.co/hvHpLji7Vd"
Positive,I’m so happy that i’m already fully vaccinated!!! #vaccinated #sinovac
Positive,Bakuna day!!! THIS IS IT. ?? #Moderna #muncovac ?? https://t.co/R5IcOaympj
Positive,"Sabi nga nila, “the best vaccine for you is the one available to you right NOW.”

1st dose, done. #Moderna ?
Thank… https://t.co/gAGARLv7Pq"
Negative,In pain... ???? #moderna https://t.co/MVDPqTRsry
Positive,Get vaccinated! ?? Finally got my first dose. #Moderna #VaccineNation #StayHomeStaySafe #FightingCovid19 @ The Tent… https://t.co/fzoeNkU9eH
Positive,"Yaaaaaas!! First dose done. #Covid #vaccinationdone??  #Moderna @ San Andres Sports Complex , Malate , Manila https://t.co/87ykO7yFOK"
Negative,Arm. So. Heavy. #CovidVaccine #Moderna
Positive,"Got my first dose of pfizer vaccine ?? Thank you QC ??
#pfizerbiontech @ Quezon City, Philippines https://t.co/rvd6gM9s95"
Positive,First dose. ???? #PfizerBiontech #LetsGetVaccinated https://t.co/1eNdeA0aWq
Positive,"I'm done with my first job as a hero I also encouraged everyone to do the same.
#1stdose 
#Sinovac https://t.co/mC00v2Grs6"
Positive,Fully vaccinated ?? keep safe everyone #sinovac https://t.co/ugySM1IpVy
Positive,Thank You Jesus for your gift of #vaccines ? #moderna for my brother and me #firstdose #birthmonth
Negative,"Took my 1st dose of #moderna vaccine this afternoon. So far, i only felt fatigue and sore arm and ofc starving afte… https://t.co/EiNj7yw2eV"
Positive,Guess who got her first dose? ?? #GetVaccinated #moderna https://t.co/fYUPOhm350
Positive,"Finally got my 1st dose of Anti-covid vaccine

Moderna vaccine is ??

#resbakunadone  #KasanggaNgBida  #Moderna… https://t.co/aVcJQ4rLIG"
Positive,"Fully vacc, get yours too ??
#Moderna
#CenruryCares https://t.co/4a6x1OR8i8"
Negative,Nonstop headache after #Moderna ??
Positive,"Long wait is over, got my 1st dose,

#moderna with wings. ????

#staysafe #stathealthy #StayHomeStaySafeCovid19 https://t.co/ADSrlbvpLu"
Positive,"I got vaccinated. ?????
#Moderna #RoadtoZeroTaguig"
Positive,"I got vaccinated! finally ?????? let’s all do our part to protect ourselves and the people around us ?

#PfizerMadeIt!… https://t.co/WHR3ud6A5h"
Positive,"The best Vaccine is the one that is available.
#FirstDose #Sinovac #GetVaccinated https://t.co/A0ji9MDNuW"
Negative,"Got fever now, also the sharp pain in my left arm. #vaccineBaby #PfizerBioNTech"
Positive,"We're now fully vaccinated with #PfizerBioNTech. ???? Let's get vaccinated. While we want to protect ourselves, we a… https://t.co/4m5HF0oKpA"
Positive,"Thank you Lord! ??

#PfizerBiontech first dose ??
#FightAgainstCovid19
#RESBAKUNA"
Positive,"Hate Digong and the CCP, pero mukhang maaasahan naman talaga ‘tong #Sinovac. Pero kahit fully vaxxed na tayo, we sh… https://t.co/NOB9l0GWNG"
Positive,More than 24 hours after 1st jab - no side effects aside from foodtrip. ?? All I did was drink paracetamol after my jab. #Sinovac
